selection_rank,source_family_id,annotator_slot,assignment_status
60,doi:10.1038/s41420-026-03124-9,A,unassigned
60,doi:10.1038/s41420-026-03124-9,B,unassigned
61,doi:10.1038/s41467-025-56941-4,A,unassigned
61,doi:10.1038/s41467-025-56941-4,B,unassigned
62,doi:10.1038/s41467-026-68547-5,A,unassigned
62,doi:10.1038/s41467-026-68547-5,B,unassigned
63,doi:10.1038/s41556-020-0546-4,A,unassigned
63,doi:10.1038/s41556-020-0546-4,B,unassigned
64,doi:10.1038/s41556-025-01807-6,A,unassigned
64,doi:10.1038/s41556-025-01807-6,B,unassigned
65,doi:10.1038/s41598-021-00450-z,A,unassigned
65,doi:10.1038/s41598-021-00450-z,B,unassigned
66,doi:10.1038/s44318-024-00309-9,A,unassigned
66,doi:10.1038/s44318-024-00309-9,B,unassigned
67,doi:10.1038/srep27903,A,unassigned
67,doi:10.1038/srep27903,B,unassigned
68,doi:10.1039/d5ra03862f,A,unassigned
68,doi:10.1039/d5ra03862f,B,unassigned
69,doi:10.1083/jcb.201801122,A,unassigned
69,doi:10.1083/jcb.201801122,B,unassigned
70,doi:10.1091/mbc.e14-07-1229,A,unassigned
70,doi:10.1091/mbc.e14-07-1229,B,unassigned
71,doi:10.1091/mbc.e23-05-0163,A,unassigned
71,doi:10.1091/mbc.e23-05-0163,B,unassigned
72,doi:10.1111/imcb.12304,A,unassigned
72,doi:10.1111/imcb.12304,B,unassigned
73,doi:10.1186/s12951-020-00765-5,A,unassigned
73,doi:10.1186/s12951-020-00765-5,B,unassigned
74,doi:10.1242/jcs.263938,A,unassigned
74,doi:10.1242/jcs.263938,B,unassigned
75,doi:10.1371/journal.pbio.1002474,A,unassigned
75,doi:10.1371/journal.pbio.1002474,B,unassigned
76,doi:10.15252/msb.202110505,A,unassigned
76,doi:10.15252/msb.202110505,B,unassigned
77,doi:10.3390/cells10061545,A,unassigned
77,doi:10.3390/cells10061545,B,unassigned
78,doi:10.3390/ijms26157121,A,unassigned
78,doi:10.3390/ijms26157121,B,unassigned
