selection_rank,source_family_id,annotator_slot,assignment_status
263,doi:10.1038/s41422-025-01217-1,A,unassigned
263,doi:10.1038/s41422-025-01217-1,B,unassigned
264,doi:10.1038/s41467-024-48086-7,A,unassigned
264,doi:10.1038/s41467-024-48086-7,B,unassigned
265,doi:10.1038/s41467-025-61787-x,A,unassigned
265,doi:10.1038/s41467-025-61787-x,B,unassigned
266,doi:10.1038/s41556-025-01820-9,A,unassigned
266,doi:10.1038/s41556-025-01820-9,B,unassigned
267,doi:10.1063/5.0111581,A,unassigned
267,doi:10.1063/5.0111581,B,unassigned
268,doi:10.1073/pnas.2217019121,A,unassigned
268,doi:10.1073/pnas.2217019121,B,unassigned
269,doi:10.1093/nsr/nwag099,A,unassigned
269,doi:10.1093/nsr/nwag099,B,unassigned
270,doi:10.1093/stmcls/sxag009,A,unassigned
270,doi:10.1093/stmcls/sxag009,B,unassigned
271,doi:10.1111/cpr.13746,A,unassigned
271,doi:10.1111/cpr.13746,B,unassigned
272,doi:10.1111/cpr.70121,A,unassigned
272,doi:10.1111/cpr.70121,B,unassigned
273,doi:10.1126/sciadv.abn5390,A,unassigned
273,doi:10.1126/sciadv.abn5390,B,unassigned
274,doi:10.1126/sciadv.ads6132,A,unassigned
274,doi:10.1126/sciadv.ads6132,B,unassigned
275,doi:10.1126/sciadv.aed9613,A,unassigned
275,doi:10.1126/sciadv.aed9613,B,unassigned
276,doi:10.1242/jcs.263637,A,unassigned
276,doi:10.1242/jcs.263637,B,unassigned
277,doi:10.26508/lsa.202503602,A,unassigned
277,doi:10.26508/lsa.202503602,B,unassigned
278,doi:10.3390/antiox14020137,A,unassigned
278,doi:10.3390/antiox14020137,B,unassigned
279,doi:10.3390/biomedicines14030633,A,unassigned
279,doi:10.3390/biomedicines14030633,B,unassigned
280,doi:10.34133/research.1077,A,unassigned
280,doi:10.34133/research.1077,B,unassigned
281,doi:10.1002/glia.24156,A,unassigned
281,doi:10.1002/glia.24156,B,unassigned
282,doi:10.1016/j.isci.2021.103482,A,unassigned
282,doi:10.1016/j.isci.2021.103482,B,unassigned
283,doi:10.1016/j.jbc.2024.107335,A,unassigned
283,doi:10.1016/j.jbc.2024.107335,B,unassigned
284,doi:10.1016/j.tox.2011.12.002,A,unassigned
284,doi:10.1016/j.tox.2011.12.002,B,unassigned
285,doi:10.1016/j.xjidi.2025.100357,A,unassigned
285,doi:10.1016/j.xjidi.2025.100357,B,unassigned
286,doi:10.1038/hortres.2017.43,A,unassigned
286,doi:10.1038/hortres.2017.43,B,unassigned
287,doi:10.1038/s41467-017-00401-1,A,unassigned
287,doi:10.1038/s41467-017-00401-1,B,unassigned
288,doi:10.1038/s41467-024-52543-8,A,unassigned
288,doi:10.1038/s41467-024-52543-8,B,unassigned
289,doi:10.1038/s41556-021-00700-2,A,unassigned
289,doi:10.1038/s41556-021-00700-2,B,unassigned
290,doi:10.1038/s41564-021-01003-w,A,unassigned
290,doi:10.1038/s41564-021-01003-w,B,unassigned
291,doi:10.1038/s41598-017-08742-z,A,unassigned
291,doi:10.1038/s41598-017-08742-z,B,unassigned
292,doi:10.1111/jcmm.15076,A,unassigned
292,doi:10.1111/jcmm.15076,B,unassigned
293,doi:10.1113/jp289215,A,unassigned
293,doi:10.1113/jp289215,B,unassigned
294,doi:10.1126/sciadv.aea7025,A,unassigned
294,doi:10.1126/sciadv.aea7025,B,unassigned
295,doi:10.1186/1471-2121-14-16,A,unassigned
295,doi:10.1186/1471-2121-14-16,B,unassigned
296,doi:10.1186/s13062-021-00316-4,A,unassigned
296,doi:10.1186/s13062-021-00316-4,B,unassigned
297,doi:10.1371/journal.pntd.0014141,A,unassigned
297,doi:10.1371/journal.pntd.0014141,B,unassigned
298,doi:10.1371/journal.pone.0181703,A,unassigned
298,doi:10.1371/journal.pone.0181703,B,unassigned
299,doi:10.3390/ijms160714318,A,unassigned
299,doi:10.3390/ijms160714318,B,unassigned
300,doi:10.3390/ijms26094221,A,unassigned
300,doi:10.3390/ijms26094221,B,unassigned
