priority_score,manifest_id,provider,accession,access_state,gold_candidate_source_count,source_count,target_modality_hints,download_policy,raw_download_status
161,dataset:a98ddf65c7f631fd,GEO,GSE296541,public_metadata_unresolved,1,1,afm;flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:de659af1d486f237,GEO,GSE297099,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:60d3fd3722f031bd,GEO,GSE298814,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;traction_force_microscopy;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:782bd9cb4f56598b,GEO,GSE304914,public_metadata_unresolved,1,1,afm;flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:beacf845f0764b4b,GEO,GSE42006,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:599c6a7fd888f29c,GEO,GSE61955,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:c45d5052b77d7d97,GEO,GSE63900,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:6dee63c63bf30e2d,GEO,GSE74866,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:27f6b355f0332f50,GEO,GSE78531,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:b8c75c0c98cfec29,GEO,GSE78628,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:23c25ed0476498ab,GEO,GSE79051,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:032aa20c1956815a,GEO,GSE80386,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:664793bd14e8b5e9,GEO,GSE85447,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:9ec6e1ee73988318,GEO,GSE86337,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:579e2b4276b47626,GEO,GSE93526,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:55c1f187e074d387,GEO,GSE97036,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:f727ec83e8f954c4,GEO,GSE99015,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
