Frame,Time_min,model_choice,used_thresh,review_mode,filename,Area_um2,Area_px,Perimeter_px,Solidity,Circularity,A0_um2,A_over_A0,EffectiveRadius_um,Series
0,0,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(64)_t002.png,128196.80460799999,30564.5,685.6538902521133,0.9772977985259557,0.8169909969941939,128196.80460799999,1.0,202.00571844355824,MD-Experiment-0004_Position(64)
1,60,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(64)_t005.png,186355.023872,44430.5,809.1097321510315,0.9877724791854248,0.8528569926937523,128196.80460799999,1.4536635639385562,243.5541961011428,MD-Experiment-0004_Position(64)
2,120,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(64)_t008.png,218594.541568,52117.0,876.8082181215286,0.9870550468272081,0.8518831913199911,128196.80460799999,1.7051481293657675,263.7817348621924,MD-Experiment-0004_Position(64)
3,180,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(64)_t011.png,252276.89984,60147.5,936.6488379240036,0.9891460757307898,0.8615368293051616,128196.80460799999,1.967887581998724,283.3764832777589,MD-Experiment-0004_Position(64)
4,240,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(64)_t014.png,280391.319552,66850.5,989.0752440690994,0.9861046575948667,0.8587284670895325,128196.80460799999,2.187194294033928,298.74960922739297,MD-Experiment-0004_Position(64)
5,300,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(64)_t017.png,309193.60511999996,73717.5,1055.7026591300964,0.9796150242852302,0.8311841089610605,128196.80460799999,2.4118667081090805,313.71863389748324,MD-Experiment-0004_Position(64)
6,360,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(64)_t020.png,334470.578176,79744.0,1086.2295721769333,0.9833829686218655,0.8493068680697274,128196.80460799999,2.609039899229498,326.29019548712955,MD-Experiment-0004_Position(64)
7,420,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(64)_t023.png,362129.915904,86338.5,1167.4427741765976,0.9652475767773094,0.7960551572248704,128196.80460799999,2.8247967413175417,339.51367029200446,MD-Experiment-0004_Position(64)
8,480,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(64)_t026.png,390617.62867199996,93130.5,1192.6143486499786,0.974841417715159,0.8228141246976836,128196.80460799999,3.0470153282402785,352.61516264047197,MD-Experiment-0004_Position(64)
9,540,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(64)_t029.png,421544.329216,100504.0,1240.856987953186,0.9754402651539048,0.8202566296056185,128196.80460799999,3.2882592550180765,366.3082410404758,MD-Experiment-0004_Position(64)
