rank,source_family_id,pmcid,decision,exception_reason,priority_score,missing_review_fields,observation_locator_count,cell_state_tags,modality_tags,mechanics_tags
246,doi:10.1126/sciadv.abb8471,PMC7717914,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,6,apoptotic;differentiating;epithelial;immune,immunofluorescence;pcr;piv;traction_force_microscopy;western_blot,stiffness_modulus;traction_force
247,doi:10.1126/sciadv.abc9294,PMC7695475,manual_priority,NONE,19,affiliation_resolved_lab_group;cell_type_state;correction_retraction_check;exclusions;independent_replication_check;source_data,5,,afm;pcr;western_blot,stiffness_modulus;strain_deformation
248,doi:10.1126/sciadv.abe3640,PMC11057708,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,4,differentiating;immune;migrating,afm;immunofluorescence,membrane_tension;pressure;stiffness_modulus;strain_deformation;viscosity_viscoelasticity
249,doi:10.1126/sciadv.abe4501,PMC7954458,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,7,differentiating;fibroblast;migrating;mitotic;stem_progenitor,afm;pcr;western_blot,migration_speed;stiffness_modulus;strain_deformation;viscosity_viscoelasticity
250,doi:10.1126/sciadv.abh3457,PMC8270498,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,10,cancer_tumor;fibroblast;immune;migrating,immunofluorescence;pcr;western_blot,membrane_tension;migration_speed;pressure;strain_deformation;viscosity_viscoelasticity
251,doi:10.1126/sciadv.adt7046,PMC12164982,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,4,migrating,pcr;western_blot,membrane_tension
252,doi:10.1126/sciadv.adx2110,PMC12466923,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,7,cancer_tumor;epithelial,immunofluorescence,stiffness_modulus;strain_deformation;viscosity_viscoelasticity
253,doi:10.1126/sciadv.adx7672,PMC12533555,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,10,differentiating;immune;migrating,flow_cytometry;immunofluorescence;pcr;western_blot,migration_speed;strain_deformation
254,doi:10.1158/0008-5472.can-25-0766,PMC13266349,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,11,cancer_tumor;epithelial;fibroblast;immune;migrating;muscle;stem_progenitor,flow_cytometry;immunofluorescence;pcr;single_cell_sequencing;western_blot,
255,doi:10.1172/jci.insight.196350,PMC12581665,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,9,cancer_tumor;epithelial;migrating,immunofluorescence;live_cell_imaging;western_blot,
256,doi:10.1172/jci173448,PMC11563688,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,12,fibroblast;muscle;stem_progenitor,afm;flow_cytometry;immunofluorescence;pcr;single_cell_sequencing;western_blot,
257,doi:10.1186/1471-2121-14-16,PMC3618206,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,5,epithelial,immunofluorescence,cell_volume
258,doi:10.1186/s12933-025-03033-8,PMC12805760,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,7,apoptotic;muscle,immunofluorescence;pcr;western_blot,
